hash,commit_size,num_test_files
ea5c6ec9daa4f14a3824b716aa3d3b88a007de5b,11,0
b9e6a76274e52dbdb96de91e517ce7731a2c6af6,360,5
0c2061b3339e74afd6f73a91943d9456580ee439,281,5
cef3b7012b1876a1c3248036a1664046d0a82a11,71,1
2df07984392d483247fe33225059ee144f53db90,104,1
0a98c41b53c6c7d3173875198a4fba220444b0d0,2,0
523523058fc742da9baf8f0d07697f4478cd99e7,478,5
fffb6c2116d3e012aa1c2c4d00f5c33d8f6a19ae,1753,8
b5e251ff50fb90fa2f32233c7f0c3052d802ccf2,2,0
1fb258b110c2859773ac84e0e0845b1b98df99b8,45,0
ee51a0bf851dba0c14fecb8fbaf5846d2a8b1170,101,0
755992e61fba7cc327ca759f1d7951e0e8383910,94,0
c45cc00d4601ea95820d97cfe05bc72a2cb40898,595,1
88f9d6564f084c5ea1bb2e9182a26f5c2fb04695,7,0
224aa70699bfe23c8718f84dadaf8d8ebcbec20d,34,0
260d24073f1e8b227d8bbe4ce7c7e54b4e341577,34,0
ab0f8194cc98d0d6647b2a83aae7059aa322442a,346,3
54993d22aed68df0ce05dc30f1378a97195c6b55,2011,14
ac18d6765d024efeeef6fdb4890d8b909f7919cb,7,0
8bbb9ef3762c635c71d64fd894ce4fe8a16439d4,70,0
57658ebd74d867dfde875d5e7cef3ac011d1c1a7,3,0
c2b8a3e0daaff078bf4341269caf9969dd872f1d,136,0
9af5868aab5b19df8f64c3105254ad0653f96e7a,88,0
899d000aafb0c68cd42b492af9a519b74f2d066c,90,0
4a01385b763d97ead10c26ea722cb89d5775b9a8,14,0
0b486f784de2612247cd5cbb6dfedaee9c1d4b6b,8,0
0d1028f8ba713c4e0cd497deaecf13389ee8e412,22,0
d04704e82081c5f1eb4c061ebb59ddb532e84a48,810,1
d15986132b305b1e150a40861682b22c8b12e097,7659,21
90ea271f0f1919de59eec73f6a20a42117e37afd,2326,2
d66f432e3e768ecfdfd364b061f192336df7faff,2,0
cb9a4073c8e2b0940e57cc97af67ae022310bb99,14,0
dfc1783a42e64688107efd8a1e78a1d79b1a4907,50,1
5552d2b78286a58050745c607d291681825a3201,40173,0
6fbd5c3e09d10f249927993ebcdb0c316b3f42d1,635,0
b52c46d96102512a55ea1e586490afb1549f71e0,56,0
0530688c443b12033656e15c25cfacf10430180a,679,3
4b5b153d36442949fb478890437f6ef1b7a99f84,55,0
ad22bc1455a367aaf2a1e03892dba0a5411d751b,160,0
00fcc3f03eeeba240f99bd0e9940ac195605f27f,71,0
e180c530853b0e5e1f4f4cbe4343a249c27928b6,453,0
43975ac62310e680eaa273c2d20af97ecc848d12,410,0
83101aa2e679acb02076ab67f8bc253306e0554c,307,0
c4fc04c6eecfacbcb260d8912830e56d68fef0bb,1314,0
9444acde2b6136eea25929063d20b39b4eb96951,43,0
e327e9d50af556d6cfbada62b086c84fc08517f6,52,3
d493819458aa6af3e8b07cb0f6a547ada17c4566,37,1
6a0f57fadc881815d9b3a81d1cbc3186390d7179,87,0
ef0d2ecbb360b438f10e4e42fa521f37ee8b2dcd,16326,0
8e3b1b3dd5f6695bdaccf569afe9b424857fa0b0,1587,0
13ba7da74a8cf5f59bd29dab53325d9a68cf7c42,38106,0
966f1ba84a385f4a9eb811ef6a917c9a6aa485c1,27,0
2ef037c0b380cef50575388ec61675d571a377b6,169,1
a0661cc3f0286384cd1648b2941404cbbc0f6f41,192,1
cc47786beec01178f3fcfaae893be20fb42c4677,3,0
3c423b2592a1021efcb974b0549eb97a26ed8319,304,3
8cd4a7038a08e696eb261d5cc274f15a86e8f96c,3,0
33a03c3e5824b646136987288985479c640a1c08,950,13
5adda6c17e2b2bab539c46eb9b3cb31c7df1f231,245,10
a127009699529481e6522d3b5921b7187d7ad842,282,0
b1fecda898b1d8d895bbe7783293cf7efb264ed6,9,0
54192674f769b350462d5d80bcc45b0ddf3153fa,46,0
5bf83e91ed525caad5ffe054ae6ae3e695ff789d,78,1
f685883e08b57bcf0efee6ac78af8a67a50e1ab9,49,0
32e95a313fb02fde4b08b161746f3b30975416a0,63,0
7397c7bb7c4495681dbf4387a433ae446f1fea7b,579,6
27994c25a377b41923fa50beb20498075b772201,1720,1
2124804b7c20f7b52ec8e099ed67fe3dfa4f10b2,832,7
0e82e71f3f883dccd94c83b1d95c26c028dc545b,277,0
337a7ee0a383fd6e29c76e8b61ae27d79caaabf8,134,0
08520ecb37d344e6463a4cfde78af3cc11403f52,27,0
87589628a7d5edab393ddf60b8759212d9c3e671,45,0
